models,accuracy
lin-c0.1,0.842
lin-c1.0,0.8105
lin-c10.0,0.8254999999999999
lin-c100.0,0.8245
lin-c0.1-gamma0.1,0.567
lin-c0.1-gamma1.0,0.5435000000000001
lin-c0.1-gamma10.0,0.5609999999999999
lin-c0.1-gamma100.0,0.5535
lin-c1.0-gamma0.1,0.5725
lin-c1.0-gamma1.0,0.5635
lin-c1.0-gamma10.0,0.5575
lin-c1.0-gamma100.0,0.578
lin-c10.0-gamma0.1,0.5585
lin-c10.0-gamma1.0,0.5589999999999999
lin-c10.0-gamma10.0,0.5665
lin-c10.0-gamma100.0,0.5469999999999999
lin-c100.0-gamma0.1,0.545
lin-c100.0-gamma1.0,0.581
lin-c100.0-gamma10.0,0.573
lin-c100.0-gamma100.0,0.558
lin-c0.1-gamma0.1-degree2,0.842
lin-c0.1-gamma0.1-degree3,0.7535000000000001
lin-c0.1-gamma0.1-degree4,0.66
lin-c0.1-gamma0.1-degree5,0.618
lin-c0.1-gamma1.0-degree2,0.784
lin-c0.1-gamma1.0-degree3,0.7115
lin-c0.1-gamma1.0-degree4,0.663
lin-c0.1-gamma1.0-degree5,0.639
lin-c0.1-gamma10.0-degree2,0.7925
lin-c0.1-gamma10.0-degree3,0.7084999999999999
lin-c0.1-gamma10.0-degree4,0.6715
lin-c0.1-gamma10.0-degree5,0.6455
lin-c0.1-gamma100.0-degree2,0.785
lin-c0.1-gamma100.0-degree3,0.703
lin-c0.1-gamma100.0-degree4,0.673
lin-c0.1-gamma100.0-degree5,0.624
lin-c1.0-gamma0.1-degree2,0.799
lin-c1.0-gamma0.1-degree3,0.677
lin-c1.0-gamma0.1-degree4,0.6445000000000001
lin-c1.0-gamma0.1-degree5,0.625
lin-c1.0-gamma1.0-degree2,0.8049999999999999
lin-c1.0-gamma1.0-degree3,0.688
lin-c1.0-gamma1.0-degree4,0.6495
lin-c1.0-gamma1.0-degree5,0.639
lin-c1.0-gamma10.0-degree2,0.7865
lin-c1.0-gamma10.0-degree3,0.7255
lin-c1.0-gamma10.0-degree4,0.6745
lin-c1.0-gamma10.0-degree5,0.637
lin-c1.0-gamma100.0-degree2,0.782
lin-c1.0-gamma100.0-degree3,0.7
lin-c1.0-gamma100.0-degree4,0.6585000000000001
lin-c1.0-gamma100.0-degree5,0.6575
lin-c10.0-gamma0.1-degree2,0.775
lin-c10.0-gamma0.1-degree3,0.7
lin-c10.0-gamma0.1-degree4,0.6665000000000001
lin-c10.0-gamma0.1-degree5,0.643
lin-c10.0-gamma1.0-degree2,0.7855000000000001
lin-c10.0-gamma1.0-degree3,0.694
lin-c10.0-gamma1.0-degree4,0.6645000000000001
lin-c10.0-gamma1.0-degree5,0.6245
lin-c10.0-gamma10.0-degree2,0.7905
lin-c10.0-gamma10.0-degree3,0.6855
lin-c10.0-gamma10.0-degree4,0.6695
lin-c10.0-gamma10.0-degree5,0.6435
lin-c10.0-gamma100.0-degree2,0.795
lin-c10.0-gamma100.0-degree3,0.72
lin-c10.0-gamma100.0-degree4,0.6799999999999999
lin-c10.0-gamma100.0-degree5,0.658
lin-c100.0-gamma0.1-degree2,0.761
lin-c100.0-gamma0.1-degree3,0.6935
lin-c100.0-gamma0.1-degree4,0.6759999999999999
lin-c100.0-gamma0.1-degree5,0.6325000000000001
lin-c100.0-gamma1.0-degree2,0.7675000000000001
lin-c100.0-gamma1.0-degree3,0.6915
lin-c100.0-gamma1.0-degree4,0.6535
lin-c100.0-gamma1.0-degree5,0.6335
lin-c100.0-gamma10.0-degree2,0.769
lin-c100.0-gamma10.0-degree3,0.7095
lin-c100.0-gamma10.0-degree4,0.665
lin-c100.0-gamma10.0-degree5,0.636
lin-c100.0-gamma100.0-degree2,0.7725
lin-c100.0-gamma100.0-degree3,0.7095
lin-c100.0-gamma100.0-degree4,0.6735
lin-c100.0-gamma100.0-degree5,0.611
